soil_temperature,soil_moisture,conductivity,ph,nitrogen,phosphorus,potassium,salt,air_temperature,air_humidity,is_raining,crop_label
14.5,32.9,698,5.86,36,68,20,426,17.1,23.8,False,kidneybeans
16.8,41.2,656,5.87,5,65,16,415,21.3,18.5,True,kidneybeans
22.1,32.1,818,5.71,32,79,15,533,23.9,20.7,False,kidneybeans
20.6,37.7,683,5.94,11,78,22,431,23.9,22.7,True,kidneybeans
20.5,45.5,682,5.92,0,55,22,446,23.0,20.6,True,kidneybeans
16.7,40.4,750,5.78,14,59,15,472,21.4,22.9,True,kidneybeans
23.6,37.7,764,5.83,29,68,23,499,24.2,19.3,True,kidneybeans
21.2,43.9,757,5.51,32,68,19,513,24.6,18.2,True,kidneybeans
16.6,39.4,677,5.66,17,64,17,424,21.0,24.9,True,kidneybeans
14.9,37.2,718,5.86,13,69,19,416,17.3,20.0,True,kidneybeans
20.4,30.0,606,5.62,14,67,22,394,23.8,24.8,False,kidneybeans
17.0,38.8,644,5.59,9,69,20,399,19.3,24.0,True,kidneybeans
14.0,41.1,881,5.98,20,73,22,555,16.0,22.3,True,kidneybeans
16.0,35.1,853,5.67,40,78,20,549,19.2,20.8,False,kidneybeans
16.9,36.6,720,5.96,27,72,23,453,19.9,21.8,False,kidneybeans
17.5,48.5,773,5.69,14,67,15,472,19.6,24.7,True,kidneybeans
15.5,38.2,717,5.7,7,56,18,434,18.3,24.3,False,kidneybeans
17.8,33.8,626,5.6,27,65,18,400,20.1,23.2,False,kidneybeans
20.0,35.4,730,5.53,30,63,16,471,23.6,21.9,True,kidneybeans
17.7,33.4,724,5.82,37,70,25,446,19.7,24.9,False,kidneybeans
17.8,41.5,678,5.56,27,63,19,443,20.9,21.2,True,kidneybeans
16.6,29.7,582,5.63,22,60,24,329,18.8,20.2,True,kidneybeans
33.4,42.3,693,6.03,3,72,24,436,36.5,57.9,True,pigeonpeas
33.6,49.7,931,5.27,40,59,23,616,36.9,62.7,True,pigeonpeas
25.5,40.3,817,5.99,33,73,23,502,29.2,59.4,True,pigeonpeas
24.4,45.5,747,6.09,27,57,24,450,27.3,43.4,True,pigeonpeas
16.3,47.6,776,5.62,10,79,18,497,21.1,55.5,True,pigeonpeas
27.0,41.5,846,6.45,30,75,25,566,30.3,42.4,True,pigeonpeas
28.2,48.6,882,5.62,40,70,20,564,31.8,45.0,True,pigeonpeas
29.9,52.7,847,5.86,38,55,19,543,33.2,38.2,True,pigeonpeas
25.1,41.6,764,5.76,35,58,20,486,29.4,63.5,False,pigeonpeas
27.0,41.7,786,4.7,38,61,21,525,30.3,67.4,True,pigeonpeas
31.7,41.3,758,5.27,33,58,24,491,35.5,68.8,True,pigeonpeas
31.0,43.1,704,7.45,16,56,17,450,33.8,40.0,True,pigeonpeas
25.4,35.9,727,5.83,31,72,17,430,28.7,49.5,True,pigeonpeas
28.1,46.9,909,7.34,16,80,20,551,31.2,56.7,True,pigeonpeas
26.1,43.6,788,6.35,27,72,17,497,29.0,57.2,True,pigeonpeas
25.9,36.4,727,4.7,40,62,19,458,27.3,34.1,True,pigeonpeas
17.0,47.8,763,4.96,18,58,16,487,21.5,38.8,True,pigeonpeas
14.5,38.9,755,4.96,3,68,16,487,18.3,34.7,True,pigeonpeas
33.8,44.3,791,5.64,26,67,24,485,37.0,37.7,True,pigeonpeas
20.1,43.2,768,5.61,16,70,20,499,24.8,40.1,True,pigeonpeas
16.3,55.5,867,4.68,24,63,19,581,19.3,56.0,True,pigeonpeas
26.9,46.1,855,5.71,9,76,25,559,28.9,50.1,True,pigeonpeas
16.3,47.6,844,6.41,16,55,19,533,19.5,47.2,True,pigeonpeas
20.9,46.4,885,6.01,28,75,21,559,24.8,50.5,True,pigeonpeas
16.1,40.8,776,4.95,16,71,24,494,18.3,38.4,True,pigeonpeas
16.6,42.4,841,5.52,24,70,21,517,19.1,45.4,True,pigeonpeas
24.1,49.5,975,5.9,38,72,21,618,28.2,49.4,True,pigeonpeas
25.6,48.9,799,5.72,9,66,21,519,30.1,34.1,True,pigeonpeas
29.4,42.8,748,4.55,34,56,17,453,33.4,35.4,True,pigeonpeas
22.3,48.9,824,6.67,1,76,19,539,24.2,46.7,True,pigeonpeas
23.1,40.2,753,4.75,6,69,19,501,26.9,41.7,False,pigeonpeas
27.1,48.6,778,4.95,26,73,21,505,31.3,58.0,True,pigeonpeas
29.1,44.7,781,5.27,27,61,18,491,33.3,67.1,True,pigeonpeas
19.0,42.5,805,7.11,27,71,23,503,23.5,46.5,True,pigeonpeas
31.5,39.4,783,5.62,36,61,21,493,34.5,39.0,True,pigeonpeas
13.6,49.9,886,5.63,17,73,18,568,19.5,34.5,True,pigeonpeas
24.9,34.5,766,4.67,26,72,22,504,28.8,37.6,False,pigeonpeas
27.9,45.9,713,7.16,17,64,16,482,31.0,32.2,True,pigeonpeas
14.2,39.8,715,6.62,14,74,19,453,18.4,36.8,False,pigeonpeas
31.0,35.3,755,5.0,39,60,15,493,35.1,31.0,True,pigeonpeas
31.6,49.0,763,6.35,6,66,15,488,34.9,30.4,True,pigeonpeas
26.0,48.1,749,6.22,8,59,18,465,29.5,35.7,True,pigeonpeas
30.6,40.1,595,5.92,2,67,18,372,34.5,47.5,True,pigeonpeas
25.1,47.2,794,6.01,1,76,17,516,28.4,52.1,True,pigeonpeas
16.3,42.9,734,4.68,16,73,19,468,18.4,34.8,True,pigeonpeas
28.6,41.6,770,7.08,23,75,25,495,31.1,47.2,False,pigeonpeas
17.4,47.6,894,6.21,32,70,20,586,20.9,46.2,True,pigeonpeas
27.6,43.9,761,7.05,28,59,22,492,30.9,52.8,True,pigeonpeas
24.0,46.2,748,4.72,5,62,23,472,27.9,66.5,True,pigeonpeas
32.9,40.4,753,6.42,36,67,25,491,36.0,36.5,True,pigeonpeas
16.0,47.7,678,4.8,1,66,23,443,19.5,56.9,True,pigeonpeas
17.7,52.7,883,4.61,24,73,20,577,19.6,32.3,True,pigeonpeas
28.5,44.5,684,5.61,17,67,18,446,31.2,56.5,True,pigeonpeas
29.3,43.8,693,7.32,5,55,18,449,33.5,45.7,True,pigeonpeas
21.1,50.4,719,5.02,5,56,24,435,24.8,45.0,True,pigeonpeas
34.2,45.6,876,5.62,37,77,17,546,36.2,31.9,True,pigeonpeas
26.8,42.0,735,5.39,13,73,20,464,30.5,35.5,True,pigeonpeas
25.0,47.0,742,5.91,6,63,23,474,26.0,49.9,True,pigeonpeas
28.1,37.0,782,6.57,16,77,22,496,31.5,35.6,True,pigeonpeas
29.0,41.0,755,4.81,25,64,20,493,33.2,32.5,True,pigeonpeas
20.2,50.0,847,4.76,34,75,24,581,23.5,51.3,True,pigeonpeas
30.8,41.1,815,5.18,20,77,23,490,34.9,38.8,True,pigeonpeas
23.3,50.3,983,4.9,35,80,25,627,28.1,44.9,True,pigeonpeas
20.9,36.5,805,6.44,14,75,24,496,24.5,57.3,True,pigeonpeas
31.3,43.2,869,7.07,36,80,21,545,33.6,48.4,True,pigeonpeas
16.5,54.6,862,6.66,7,77,18,562,20.6,60.5,True,pigeonpeas
17.0,50.6,835,5.98,29,78,25,545,20.0,59.3,True,pigeonpeas
24.7,48.9,781,5.46,30,60,21,490,28.9,62.5,True,pigeonpeas
33.6,44.9,711,4.76,20,74,16,422,36.0,43.6,True,pigeonpeas
20.7,47.9,858,7.34,19,57,23,542,23.7,47.3,True,pigeonpeas
22.5,45.9,696,4.82,3,60,19,426,25.7,40.7,True,pigeonpeas
28.3,43.6,756,6.24,5,77,19,464,31.1,66.7,True,pigeonpeas
16.3,41.3,779,5.0,5,68,20,482,18.7,61.3,True,pigeonpeas
26.1,47.8,941,5.56,37,73,21,595,29.5,63.5,True,pigeonpeas
17.0,42.0,747,4.75,9,59,24,518,20.4,39.4,True,pigeonpeas
32.4,44.4,650,7.31,20,72,15,418,36.0,56.0,True,pigeonpeas
27.1,45.6,768,5.66,31,56,23,493,31.5,35.4,True,pigeonpeas
34.3,43.3,752,4.67,0,70,21,456,36.3,56.0,True,pigeonpeas
26.9,49.6,787,6.47,21,74,15,483,29.5,67.1,True,pigeonpeas
28.1,55.8,867,5.38,13,67,18,513,30.6,34.8,True,pigeonpeas
22.3,39.4,820,5.86,27,74,20,515,24.7,60.0,False,pigeonpeas
20.4,47.9,858,6.96,29,72,24,566,23.2,36.7,True,pigeonpeas
18.0,46.7,801,6.12,5,68,20,473,19.0,33.1,True,pigeonpeas
25.5,45.2,839,6.42,39,57,19,524,29.3,45.9,True,pigeonpeas
31.8,49.5,807,4.83,22,62,16,536,34.6,54.3,True,pigeonpeas
18.2,51.6,737,6.99,18,55,23,473,22.0,56.3,True,pigeonpeas
19.9,46.0,1004,4.6,39,77,21,650,23.0,60.2,True,pigeonpeas
29.2,46.0,711,6.98,13,75,20,435,30.6,35.3,True,pigeonpeas
27.0,49.5,864,7.06,27,71,24,539,31.5,48.2,True,pigeonpeas
23.9,44.2,736,5.17,26,64,22,506,26.0,40.6,True,pigeonpeas
17.1,52.7,923,5.11,23,55,16,607,21.0,69.7,True,pigeonpeas
15.3,47.6,743,5.37,4,69,19,444,19.3,47.7,True,pigeonpeas
14.7,47.9,739,5.67,20,67,19,492,19.2,50.5,True,pigeonpeas
18.9,37.4,698,5.67,7,74,17,454,22.5,62.6,True,pigeonpeas
35.1,38.4,637,6.08,17,64,18,394,36.8,58.3,True,pigeonpeas
26.2,58.7,931,6.93,35,71,17,575,29.9,66.4,True,pigeonpeas
26.1,46.6,796,6.84,11,72,22,546,29.4,44.8,True,pigeonpeas
24.2,47.4,787,6.88,20,60,22,499,29.7,42.9,True,pigeonpeas
16.9,52.0,807,6.15,10,71,18,511,19.5,66.3,True,pigeonpeas
17.1,46.6,746,4.57,33,61,24,446,20.0,48.9,True,pigeonpeas
24.4,34.9,481,3.69,3,49,18,281,27.9,64.7,False,mothbeans
23.8,38.7,667,4.37,22,59,23,403,27.3,51.3,False,mothbeans
25.2,31.1,698,8.4,36,58,25,430,28.7,59.3,False,mothbeans
26.1,41.2,579,8.84,4,43,18,365,29.0,61.1,False,mothbeans
25.4,29.3,539,8.15,29,54,16,323,27.8,54.7,False,mothbeans
28.6,37.9,707,5.27,32,43,22,443,32.0,54.1,False,mothbeans
25.1,39.9,661,8.05,14,55,15,433,27.3,55.3,False,mothbeans
27.0,35.0,600,9.68,5,35,20,413,28.9,53.6,False,mothbeans
25.3,34.1,748,6.97,25,57,24,484,27.7,58.6,False,mothbeans
24.5,39.2,690,7.39,11,53,24,427,28.5,55.8,False,mothbeans
31.9,33.8,689,6.69,40,49,17,417,31.0,45.9,False,mothbeans
21.2,36.6,704,7.88,38,56,25,412,25.7,45.4,False,mothbeans
27.8,33.4,642,5.88,27,43,23,426,31.7,56.9,False,mothbeans
22.0,36.2,624,8.2,24,38,22,397,24.5,58.5,False,mothbeans
27.5,32.9,534,8.99,23,45,21,357,31.5,51.8,False,mothbeans
22.2,37.1,639,5.88,29,57,20,396,25.6,50.7,False,mothbeans
27.5,37.3,666,7.71,31,35,23,403,30.3,47.2,False,mothbeans
25.7,32.3,639,4.52,0,55,25,387,28.2,43.7,False,mothbeans
22.3,32.4,509,9.93,7,45,22,317,25.5,44.8,False,mothbeans
28.5,27.6,665,6.46,17,58,25,427,31.1,43.6,False,mothbeans
23.2,35.0,592,8.02,11,44,17,376,26.3,55.6,False,mothbeans
24.0,40.4,639,3.71,22,49,22,404,28.2,61.6,False,mothbeans
24.0,40.0,615,5.49,9,51,19,393,27.0,49.3,False,mothbeans
22.8,33.0,583,9.25,28,48,15,353,25.2,55.3,False,mothbeans
24.9,34.7,605,6.01,26,50,19,399,27.3,51.7,False,mothbeans
23.2,29.7,687,7.44,36,56,20,440,25.4,49.7,False,mothbeans
28.0,38.4,705,3.81,8,60,18,459,31.2,46.0,False,mothbeans
26.6,33.3,606,5.82,24,37,21,375,30.6,58.2,False,mothbeans
23.1,32.0,685,4.52,22,43,24,417,25.4,53.2,False,mothbeans
23.0,35.4,659,3.51,36,43,24,406,27.1,43.7,False,mothbeans
20.6,37.2,679,6.03,22,44,24,428,24.3,56.3,False,mothbeans
28.3,35.0,625,5.5,17,43,22,383,30.1,45.9,False,mothbeans
24.4,34.1,601,4.61,8,45,15,373,28.1,61.0,False,mothbeans
23.8,28.5,632,5.55,7,56,23,423,26.3,40.0,False,mothbeans
25.0,35.9,758,8.29,36,57,16,484,28.6,57.1,False,mothbeans
25.0,33.1,543,3.83,11,45,19,341,28.7,44.4,False,mothbeans
21.2,41.4,600,8.87,6,36,22,362,24.2,59.8,False,mothbeans
24.8,35.2,666,3.79,17,57,20,425,28.5,45.2,False,mothbeans
23.5,38.0,646,4.19,4,47,20,439,26.0,65.0,False,mothbeans
27.8,36.1,615,7.66,9,49,16,416,30.9,41.4,False,mothbeans
22.4,39.6,634,9.39,25,51,24,406,25.5,61.7,False,mothbeans
22.3,27.3,543,4.52,36,44,21,354,25.1,51.3,False,mothbeans
24.8,33.7,669,5.79,21,38,20,427,27.1,63.6,False,mothbeans
29.5,40.3,695,7.35,37,57,20,422,31.1,44.8,False,mothbeans
23.5,35.8,550,5.99,32,48,18,350,26.5,56.4,False,mothbeans
26.1,35.0,693,8.62,29,44,20,436,30.0,63.6,False,mothbeans
24.1,39.5,736,9.46,25,51,18,446,27.8,54.8,False,mothbeans
26.0,30.7,653,8.03,10,44,24,375,31.0,43.0,False,mothbeans
24.7,31.2,560,5.41,23,35,18,320,26.5,47.4,False,mothbeans
30.2,37.9,707,6.28,9,60,23,437,32.0,57.2,False,mothbeans
21.9,37.0,692,9.16,3,58,21,469,25.4,46.8,False,mothbeans
20.7,36.8,637,7.89,22,42,22,393,25.5,57.0,False,mothbeans
26.1,39.7,617,8.18,12,39,21,409,29.0,62.9,False,mothbeans
25.2,33.9,736,9.07,39,36,22,470,29.3,60.5,False,mothbeans
25.7,39.8,655,7.7,32,41,16,437,28.6,61.4,False,mothbeans
21.8,37.1,666,5.89,30,41,15,418,24.8,44.2,False,mothbeans
24.4,32.5,522,6.16,19,36,22,356,25.4,58.6,False,mothbeans
29.2,39.7,649,3.5,4,46,15,416,31.0,62.4,False,mothbeans
24.1,37.7,603,7.39,21,39,20,356,27.1,52.3,False,mothbeans
24.0,34.5,780,8.34,35,57,25,479,27.1,42.3,False,mothbeans
25.3,33.7,725,8.66,22,55,24,482,28.6,57.3,False,mothbeans
25.5,32.6,682,3.56,35,51,17,400,28.8,49.8,False,mothbeans
23.6,35.6,595,5.96,17,56,17,387,27.9,45.4,False,mothbeans
27.3,39.1,755,9.42,28,57,17,477,30.5,61.6,False,mothbeans
26.5,39.7,657,8.18,22,36,16,413,30.6,50.8,False,mothbeans
22.7,36.3,616,5.13,11,41,19,358,26.9,41.8,False,mothbeans
24.9,30.6,640,6.29,38,38,18,426,26.3,61.2,False,mothbeans
25.7,35.3,665,7.99,23,37,24,420,28.8,44.2,False,mothbeans
26.2,30.6,528,8.92,25,35,20,356,28.9,43.4,False,mothbeans
26.8,36.3,670,6.88,40,45,20,406,29.4,57.7,False,mothbeans
21.7,33.9,657,5.24,23,58,19,399,24.2,58.3,False,mothbeans
23.1,32.2,620,7.55,2,56,23,405,26.7,59.8,False,mothbeans
25.6,32.3,531,8.71,3,56,17,318,28.2,53.5,False,mothbeans
26.7,36.1,605,7.79,26,51,25,362,28.8,52.6,False,mothbeans
25.8,38.5,690,8.06,39,42,20,427,29.3,61.3,False,mothbeans
24.5,32.2,706,4.4,27,59,20,452,28.0,52.6,False,mothbeans
24.3,32.9,602,5.95,24,45,19,403,26.9,48.8,False,mothbeans
28.3,32.8,600,8.53,7,40,17,358,31.2,40.9,False,mothbeans
20.2,32.4,546,7.22,15,45,23,353,24.2,61.4,False,mothbeans
26.6,35.6,711,4.93,26,52,23,447,30.0,49.6,False,mothbeans
26.9,38.8,716,4.63,20,45,16,445,29.9,54.6,False,mothbeans
27.1,33.1,812,5.03,34,54,24,532,31.2,41.6,False,mothbeans
24.4,35.7,603,3.53,19,51,25,430,26.8,48.2,False,mothbeans
29.1,40.0,688,8.87,29,41,21,443,31.5,62.8,False,mothbeans
28.7,34.2,637,9.41,20,50,22,415,31.0,46.4,False,mothbeans
26.6,37.9,683,5.8,11,40,23,425,29.6,63.0,False,mothbeans
28.0,36.7,587,8.35,15,54,15,377,30.0,57.0,False,mothbeans
29.1,37.4,646,8.63,35,55,22,405,30.9,52.6,False,mothbeans
27.3,35.7,721,7.7,9,59,25,451,30.4,60.2,False,mothbeans
25.9,35.9,661,5.26,40,45,18,437,30.4,55.2,False,mothbeans
21.7,39.6,708,9.11,35,38,19,433,25.3,63.2,False,mothbeans
26.8,34.2,695,4.61,14,58,17,449,30.5,60.0,False,mothbeans
29.6,30.3,677,7.12,40,55,18,444,30.4,40.6,False,mothbeans
20.2,36.5,701,7.21,18,36,23,438,24.0,53.8,False,mothbeans
25.4,35.8,762,9.94,35,52,15,487,28.7,61.1,False,mothbeans
27.9,34.6,703,8.91,4,59,22,467,29.3,49.0,False,mothbeans
25.9,34.3,625,8.64,22,51,16,408,28.0,61.3,False,mothbeans
22.1,41.7,700,8.62,33,47,17,429,24.9,48.3,False,mothbeans
23.4,27.3,433,5.84,2,51,17,280,25.9,46.0,False,mothbeans
28.1,31.3,619,3.53,16,51,21,373,31.0,50.0,False,mothbeans
24.8,34.5,720,7.19,19,55,20,434,27.4,87.8,False,mungbean
24.6,42.0,671,7.03,8,54,20,435,28.3,80.8,False,mungbean
25.4,39.4,730,6.64,36,55,20,470,27.0,84.3,False,mungbean
25.7,33.2,601,6.83,10,56,16,381,28.2,81.0,False,mungbean
26.5,33.2,674,6.89,22,56,17,406,29.9,87.3,False,mungbean
27.5,42.1,663,7.17,9,57,24,401,29.9,89.7,False,mungbean
25.1,36.8,641,6.94,34,59,23,399,28.6,83.2,False,mungbean
23.9,45.6,828,7.2,31,51,25,536,27.5,85.6,False,mungbean
27.9,35.9,564,6.99,0,49,18,328,29.7,87.9,False,mungbean
25.9,38.8,657,7.06,21,39,20,394,28.1,82.1,False,mungbean
27.3,41.7,588,7.16,28,35,22,423,29.5,86.7,False,mungbean
25.7,40.3,685,6.36,17,52,17,446,27.9,86.5,False,mungbean
23.9,38.6,676,6.43,24,42,23,434,28.2,82.4,False,mungbean
27.0,39.9,661,6.66,28,46,16,439,29.0,85.0,False,mungbean
26.2,31.2,633,6.64,21,38,21,357,29.8,86.5,False,mungbean
26.9,36.7,746,6.79,34,60,25,473,29.8,85.2,False,mungbean
25.1,40.3,640,6.85,19,53,22,448,27.9,80.5,False,mungbean
23.0,40.0,685,7.12,31,58,15,434,27.1,85.0,False,mungbean
22.5,37.2,631,6.88,19,35,24,451,27.1,83.6,False,mungbean
25.9,38.2,691,6.42,24,53,17,452,29.0,89.1,False,mungbean
24.8,37.7,652,6.54,13,47,20,407,29.2,87.9,False,mungbean
25.3,38.8,743,6.45,31,53,16,510,28.7,85.8,False,mungbean
27.9,39.0,708,6.49,28,45,23,482,29.7,80.3,False,mungbean
24.0,37.8,642,6.71,31,37,21,408,27.2,86.4,False,mungbean
24.5,34.0,705,6.51,33,60,15,399,29.0,81.7,False,mungbean
26.6,33.3,650,6.29,34,45,21,428,28.2,82.6,False,mungbean
24.9,40.0,728,6.86,13,57,25,456,28.3,86.2,False,mungbean
23.9,41.3,761,6.78,33,57,17,467,27.9,88.7,False,mungbean
24.9,41.0,748,6.77,32,57,22,472,28.7,87.5,False,mungbean
23.9,37.0,665,6.32,23,59,25,404,27.8,88.7,False,mungbean
24.5,38.3,703,6.71,35,41,18,454,28.7,81.6,False,mungbean
24.1,37.2,636,6.79,6,48,24,413,28.6,84.6,False,mungbean
24.5,35.2,612,7.13,29,36,25,412,28.3,88.4,False,mungbean
24.0,41.3,544,7.01,4,36,22,346,27.6,86.1,False,mungbean
24.3,40.3,727,7.16,10,59,22,461,28.6,87.0,False,mungbean
25.5,40.2,690,6.99,14,48,21,453,29.2,84.8,False,mungbean
26.7,37.7,530,6.22,8,50,21,332,28.6,89.1,False,mungbean
27.4,39.6,691,7.2,20,40,15,468,29.6,88.1,False,mungbean
26.1,41.3,659,6.39,36,43,22,418,27.8,87.2,False,mungbean
26.5,38.3,725,6.62,14,57,15,463,29.9,83.1,False,mungbean
26.7,39.8,681,7.03,11,60,23,442,27.3,88.5,False,mungbean
26.6,40.3,710,6.32,10,59,15,444,29.8,89.3,False,mungbean
26.0,39.0,728,6.4,7,60,25,470,28.3,82.8,False,mungbean
26.6,42.7,669,6.4,2,47,15,430,29.9,86.0,False,mungbean
25.3,44.0,705,6.9,20,45,22,471,29.6,90.0,False,mungbean
23.2,38.7,624,6.48,2,39,15,419,28.1,82.9,False,mungbean
24.6,45.3,708,7.06,27,40,24,431,27.8,90.0,False,mungbean
22.4,42.4,798,6.98,35,48,15,475,27.1,87.5,False,mungbean
24.5,36.1,663,6.23,4,59,25,404,27.7,81.9,False,mungbean
26.6,41.1,679,6.23,1,48,24,419,29.3,85.6,False,mungbean
24.4,36.0,696,7.14,36,43,21,433,28.4,84.9,False,mungbean
23.0,40.5,684,6.46,11,46,24,446,27.7,89.8,False,mungbean
25.8,43.5,833,6.57,34,47,19,513,27.3,85.4,False,mungbean
25.3,39.1,659,7.13,21,44,18,415,27.1,86.9,False,mungbean
25.2,38.6,637,6.43,17,58,20,434,28.1,85.9,False,mungbean
25.3,37.1,651,6.25,25,40,21,410,27.7,81.1,False,mungbean
22.5,37.7,604,6.62,2,38,18,394,27.5,89.9,False,mungbean
26.4,39.0,684,6.38,9,48,20,419,29.7,84.3,False,mungbean
26.7,35.4,804,6.42,37,49,25,495,29.9,85.9,False,mungbean
26.0,36.2,623,6.32,36,38,15,382,28.4,87.6,False,mungbean
25.4,37.4,711,6.98,40,58,15,439,29.5,87.6,False,mungbean
24.9,39.5,703,6.44,30,44,16,452,29.7,82.9,False,mungbean
24.8,37.7,602,7.18,1,59,23,373,27.5,87.2,False,mungbean
23.6,41.1,635,6.4,9,48,22,418,27.8,87.1,False,mungbean
27.3,31.8,580,7.09,14,41,17,368,29.1,88.5,False,mungbean
24.0,33.7,723,6.7,35,52,19,448,27.1,89.9,False,mungbean
27.0,36.8,678,6.59,31,48,17,440,28.9,86.9,False,mungbean
26.2,37.2,565,6.65,4,41,20,364,28.1,83.8,False,mungbean
25.5,43.5,768,7.12,30,37,25,496,29.9,80.1,False,mungbean
26.1,32.0,551,6.91,9,35,20,373,27.4,81.0,False,mungbean
26.9,36.1,615,7.07,20,41,20,382,29.3,89.5,False,mungbean
26.1,37.7,745,6.53,37,50,23,499,29.7,88.5,False,mungbean
26.3,34.0,686,6.68,34,35,21,441,28.4,82.7,False,mungbean
24.3,39.0,647,6.58,14,37,15,381,28.0,84.0,False,mungbean
25.9,39.3,742,6.86,23,39,22,465,29.3,82.0,False,mungbean
25.9,39.8,702,6.49,5,45,21,471,28.4,88.0,False,mungbean
25.1,36.5,570,6.61,22,37,20,360,27.6,86.5,False,mungbean
26.4,35.7,644,6.86,40,51,17,429,28.7,86.1,False,mungbean
26.2,39.2,730,6.42,27,56,20,495,29.2,87.1,False,mungbean
28.3,37.6,749,6.37,31,40,22,506,29.4,86.2,False,mungbean
23.7,38.8,706,6.56,38,36,21,442,28.0,84.9,False,mungbean
23.1,38.0,644,6.76,6,37,17,405,28.1,80.4,False,mungbean
25.5,35.8,577,6.72,6,47,18,367,29.2,80.3,False,mungbean
25.3,36.0,652,6.67,24,44,17,427,29.9,80.0,False,mungbean
24.8,44.8,804,6.63,25,59,19,523,29.1,83.7,False,mungbean
23.1,43.1,687,6.7,32,56,21,443,27.4,88.7,False,mungbean
24.8,42.2,649,7.01,8,45,18,403,27.9,85.4,False,mungbean
25.3,35.6,710,6.89,19,39,17,463,29.3,81.8,False,mungbean
24.2,35.1,580,6.82,39,37,15,367,29.0,83.8,False,mungbean
25.5,37.0,715,7.18,33,37,19,450,27.9,86.6,False,mungbean
25.3,37.1,544,6.27,26,54,17,358,28.5,89.0,False,mungbean
26.9,36.9,683,6.68,21,51,15,451,29.4,89.2,False,mungbean
25.3,35.8,718,6.69,22,54,20,470,28.6,83.6,False,mungbean
25.3,33.3,651,6.58,29,45,16,407,28.4,87.9,False,mungbean
24.9,37.1,563,6.73,4,40,21,335,28.8,80.5,False,mungbean
25.4,36.8,638,7.07,10,37,22,382,28.7,89.1,False,mungbean
26.4,29.7,490,6.92,4,44,19,289,28.0,83.5,False,mungbean
25.6,34.8,714,6.77,20,45,17,518,28.2,83.7,False,mungbean
25.0,42.5,660,6.98,23,45,23,449,28.8,86.7,False,mungbean
27.4,36.0,652,6.27,25,48,21,410,28.4,83.5,False,mungbean
26.3,38.8,872,7.45,56,79,15,551,29.5,63.2,False,blackgram
24.5,40.5,746,7.04,25,62,21,467,26.7,68.1,False,blackgram
23.4,36.2,761,7.42,42,61,22,492,26.3,62.3,False,blackgram
30.9,35.5,721,6.5,42,73,25,478,34.0,67.2,False,blackgram
24.9,34.6,775,6.81,44,58,18,515,28.0,65.1,False,blackgram
26.7,39.0,860,7.58,50,55,16,526,28.8,65.3,False,blackgram
31.0,35.9,791,7.74,35,72,21,529,34.0,64.3,False,blackgram
30.1,39.0,826,6.57,30,64,20,501,33.9,61.6,False,blackgram
31.2,41.7,855,7.54,27,64,21,585,32.8,68.7,False,blackgram
24.4,42.8,851,6.54,50,74,17,535,27.1,63.4,False,blackgram
23.3,39.7,852,7.22,39,73,24,541,25.7,61.2,False,blackgram
30.2,36.2,844,7.55,57,67,25,527,32.3,66.6,False,blackgram
27.1,39.9,842,6.93,52,63,19,507,29.6,68.3,False,blackgram
28.2,38.4,879,7.75,55,66,22,580,30.9,68.8,False,blackgram
23.7,38.0,776,6.71,51,56,18,495,28.1,64.2,False,blackgram
27.7,31.0,731,6.67,36,66,15,494,30.1,69.3,False,blackgram
27.3,40.0,770,7.33,59,55,19,478,31.7,62.5,False,blackgram
24.6,38.1,781,7.6,50,58,23,535,27.8,62.5,False,blackgram
29.3,37.4,737,7.71,30,65,25,448,32.9,64.6,False,blackgram
26.9,35.1,650,7.37,20,62,18,409,29.4,65.0,False,blackgram
24.0,37.3,793,6.92,58,71,15,493,27.8,67.6,False,blackgram
24.9,33.3,659,7.19,25,71,24,442,28.5,60.4,False,blackgram
24.2,35.9,792,7.08,52,71,16,468,27.7,68.5,False,blackgram
27.9,36.4,793,6.74,40,63,18,546,30.4,67.7,False,blackgram
25.3,38.9,689,6.73,20,60,25,409,27.3,69.1,False,blackgram
28.2,38.8,759,6.63,48,61,21,505,30.3,61.7,False,blackgram
26.0,36.9,800,7.13,49,68,22,516,28.6,61.5,False,blackgram
21.7,32.6,693,7.54,48,62,15,477,25.4,66.6,False,blackgram
32.6,33.7,642,7.16,32,66,17,415,34.9,65.3,False,blackgram
21.5,38.4,815,6.86,21,63,22,522,25.1,67.7,False,blackgram
30.1,39.8,810,7.4,20,72,19,510,32.5,64.3,False,blackgram
28.8,38.9,817,6.88,25,65,21,481,33.9,68.6,False,blackgram
22.3,38.1,892,6.58,41,78,21,550,25.2,60.4,False,blackgram
30.0,36.6,852,7.3,53,67,17,541,31.8,69.0,False,blackgram
31.3,35.9,757,6.97,39,60,21,506,34.9,63.6,False,blackgram
30.1,35.9,762,7.24,25,76,17,502,31.7,68.6,False,blackgram
24.1,39.3,806,6.92,21,78,19,508,27.2,66.8,False,blackgram
22.2,37.1,834,7.5,57,60,17,506,26.2,67.9,False,blackgram
25.9,35.0,878,7.15,56,75,15,561,30.2,60.1,False,blackgram
27.1,42.8,885,7.14,49,72,15,570,31.6,67.8,False,blackgram
25.2,39.2,761,6.81,24,80,19,477,29.7,69.1,False,blackgram
23.9,37.1,703,7.39,49,76,18,456,27.1,67.7,False,blackgram
